SRA	Sample	Name	Technology
ERR4626689	SAMEA7313229	Rostov2039	Illumina HiSeq
ERR4626688      SAMEA7313242	Rostov2039      Illumina NextSeq lib4
ERR4626687      SAMEA7313241	Rostov2039      Illumina NextSeq lib3
ERR4626686      SAMEA7313240	Rostov2039      Illumina NextSeq lib2
ERR4626685	SAMEA7313239	Rostov2039      Illumina NextSeq lib1
ERR4626684      SAMEA7313228	Rostov2033      Illumina HiSeq
ERR4626683      SAMEA7313238	Rostov2033      Illumina NextSeq lib3
ERR4626682      SAMEA7313237	Rostov2033      Illumina NextSeq lib2
ERR4626678      SAMEA7313236	Rostov2033      Illumina NextSeq lib1
ERR4626677      SAMEA7313227	Rostov1639      Illumina HiSeq
ERR4626676      SAMEA7313235	Rostov1639      Illumina NextSeq lib3
ERR4626675      SAMEA7313234	Rostov1639      Illumina NextSeq lib2
ERR4626674      SAMEA7313233	Rostov1639      Illumina NextSeq lib1
ERR4626666      SAMEA7313231	Gdansk8      Illumina HiSeq
ERR4626656      SAMEA7313249	Gdansk8      Illumina NextSeq lib4
ERR4624301	SAMEA7313248	Gdansk8      Illumina NextSeq lib3
ERR4624269	SAMEA7313247	Gdansk8      Illumina NextSeq lib2
ERR4624268	SAMEA7313246	Gdansk8      Illumina NextSeq lib1
ERR4624266	SAMEA7313230	Azov8	Illumina HiSeq
ERR4624261	SAMEA7313245	Azov8	Illumina NextSeq lib3
ERR4624259      SAMEA7313244	Azov8   Illumina NextSeq lib2
ERR4624258      SAMEA7313243	Azov8   Illumina NextSeq lib1
