SRA	Sample	Name	Technology
SRR12709671	SAMN16091815	Photobacterium damselae subsp. piscicida QMA0506	Illumina
SRR12709676	SAMN16091814	Photobacterium damselae subsp. piscicida QMA0505	Illumina
SRR6218669	SAMN07327717	Photobacterium damselae subsp. Piscicida ATCC29688	Illumina
SRR6218444	SAMN07327716	Photobacterium damselae subsp. Piscicida ATCC29689	Illumina
SRR8902871	SAMN11269579	Photobacterium damselae subsp. piscicida SNW-8.1	Illumina
SRR8954861	SAMN11420087	Photobacterium damselae subsp. piscicida PP3	Illumina
