Name,Color
Contig_100_640.507,Purple
Contig_101_98.6355,Purple
Contig_102_80.8364,Purple
Contig_103_69.2005,Purple
Contig_104_161.257,Purple
Contig_105_477.245,Purple
Contig_106_492.949,Purple
Contig_107_115.755,Purple
Contig_108_166.146,Purple
Contig_109_135.699,Purple
Contig_10_68.5126,Purple
Contig_110_72.1496,Purple
Contig_111_68.0459,Purple
Contig_112_123.223,Purple
Contig_113_71.1068,Purple
Contig_114_89.4352,Purple
Contig_115_55.799,Purple
Contig_116_74.5403,Purple
Contig_117_80.0046,Purple
Contig_118_112.253,Purple
Contig_119_144.711,Purple
Contig_11_54.7032,Purple
Contig_120_56.8833,Purple
Contig_121_76.7803,Purple
Contig_122_866.259,Purple
Contig_123_81.6315,Purple
Contig_124_205.637,Purple
Contig_125_77.7454,Purple
Contig_126_614.667,Purple
Contig_127_77.3206,Purple
Contig_128_76.4618,Purple
Contig_129_556.602,Purple
Contig_12_68.3965,Purple
Contig_130_76.4849,Purple
Contig_131_59.9013,Purple
Contig_132_281.731,Purple
Contig_133_208.538,Purple
Contig_134_61.0845,Purple
Contig_135_243.319,Purple
Contig_136_149.628,Purple
Contig_137_59.8145,Purple
Contig_138_92.8289,Purple
Contig_139_208.935,Purple
Contig_13_65.4479,Purple
Contig_140_80.2141,Purple
Contig_141_124.188,Purple
Contig_142_641.018,Purple
Contig_143_64.6102,Purple
Contig_144_67.3492,Purple
Contig_145_75.2118,Purple
Contig_146_131.993,Purple
Contig_147_138.849,Purple
Contig_148_100.414,Purple
Contig_149_2266.63,Purple
Contig_14_62.9004,Purple
Contig_150_197,Purple
Contig_151_81.1271,Purple
Contig_152_65.0928,Purple
Contig_153_89.4704,Purple
Contig_154_224.771,Purple
Contig_155_72.8762,Purple
Contig_156_97.8997,Purple
Contig_157_67.4006,Purple
Contig_158_2016.7,Purple
Contig_159_573.598,Purple
Contig_15_839.908,Purple
Contig_160_63.2744,Purple
Contig_161_84.3261,Purple
Contig_162_76.0889,Purple
Contig_163_64.3596,Purple
Contig_164_59.3527,Purple
Contig_165_73.558,Purple
Contig_166_73.4817,Purple
Contig_167_59.7173,Purple
