Name,Color
Contig_100_84.9567,Purple
Contig_101_79.4292,Purple
Contig_102_68.1969,Purple
Contig_103_176.27,Purple
Contig_104_83.4028,Purple
Contig_105_61.8839,Purple
Contig_106_77.9469,Purple
Contig_107_148.837,Purple
Contig_108_66.4536,Purple
Contig_109_72.0225,Purple
Contig_10_120.093,Purple
Contig_110_73.032,Purple
Contig_111_132.695,Purple
Contig_112_83.5179,Purple
Contig_113_66.3037,Purple
Contig_114_101.117,Purple
Contig_115_62.8057,Purple
Contig_116_90.7055,Purple
Contig_117_81.7351,Purple
Contig_118_82.5031,Purple
Contig_119_55.5421,Purple
Contig_11_65.9091,Purple
Contig_120_95.6288,Purple
Contig_121_53.9606,Purple
Contig_122_66.1432,Purple
Contig_123_50.2265,Purple
Contig_124_941.423,Purple
Contig_125_260.684,Purple
Contig_126_55.5857,Purple
Contig_127_68.3922,Purple
Contig_128_67.727,Purple
Contig_129_371.301,Purple
Contig_12_52.9889,Purple
Contig_130_57.2846,Purple
Contig_131_59.2571,Purple
Contig_132_132.861,Purple
Contig_133_103.009,Purple
Contig_134_49.6634,Purple
Contig_135_78.8791,Purple
Contig_136_74.9509,Purple
Contig_137_56.088,Purple
Contig_138_70.4003,Purple
Contig_139_51.3837,Purple
Contig_13_44.8785,Purple
Contig_140_59.5816,Purple
Contig_141_79.7831,Purple
Contig_142_70.7086,Purple
Contig_143_108.571,Purple
Contig_144_62.2114,Purple
Contig_145_71.2839,Purple
Contig_146_94.5517,Purple
Contig_147_217.997,Purple
Contig_148_74.0854,Purple
Contig_149_74.0699,Purple
Contig_14_66.117,Purple
Contig_150_344.942,Purple
Contig_151_49.7727,Purple
Contig_152_63.6626,Purple
Contig_153_86.344,Purple
Contig_154_59.4521,Purple
Contig_155_52.7749,Purple
Contig_156_70.557,Purple
Contig_157_71.5204,Purple
Contig_158_60.3321,Purple
Contig_159_54.7736,Purple
Contig_15_57.3086,Purple
Contig_160_50.2914,Purple
Contig_161_53.3817,Purple
Contig_162_57.8826,Purple
Contig_16_60.5347,Purple
Contig_17_57.1764,Purple
Contig_18_72.5971,Purple
Contig_19_65.0066,Purple
Contig_1_781.9_Circ,Purple
Contig_20_60.6628,Purple
Contig_21_446.024,Purple
Contig_22_53.4665,Purple
Contig_23_92.871,Purple
Contig_24_178.622,Purple
Contig_25_236.834,Purple
Contig_26_60.7163,Purple
Contig_27_88.2944,Purple
Contig_28_74.0004,Purple
Contig_29_97.343,Purple
Contig_2_795.222_Circ,Purple
Contig_30_64.6511,Purple
Contig_31_80.1788,Purple
Contig_32_55.9407,Purple
Contig_33_50.5558,Purple
Contig_34_222.436,Purple
Contig_35_496.939,Purple
Contig_36_164.628,Purple
Contig_37_81.6305,Purple
Contig_38_353.09,Purple
Contig_39_125.68,Purple
Contig_3_1929.89_Circ,Purple
Contig_40_174.174,Purple
Contig_41_703.469,Purple
Contig_42_68.6212,Purple
Contig_43_535.119,Purple
Contig_44_728.748,Purple
Contig_45_77.1674,Purple
Contig_46_161.629,Purple
Contig_47_57.6828,Purple
Contig_48_132.666,Purple
Contig_49_225.187,Purple
Contig_4_70.7254,Purple
Contig_50_73.4422,Purple
Contig_51_73.6405,Purple
Contig_52_111.458,Purple
Contig_53_113.354,Purple
Contig_54_73.5282,Purple
Contig_55_68.8108,Purple
Contig_56_85.9137,Purple
Contig_57_235.062,Purple
Contig_58_71.4576,Purple
Contig_59_100.82,Purple
Contig_5_41.5608,Purple
Contig_60_71.7854,Purple
Contig_61_879.115,Purple
Contig_62_644.481,Purple
Contig_63_57.7771,Purple
Contig_64_41.8333,Purple
Contig_65_421.522,Purple
Contig_66_60.0301,Purple
Contig_67_71.476,Purple
Contig_68_546.608,Purple
Contig_69_110.015,Purple
Contig_6_61.7203,Purple
Contig_70_66.9953,Purple
Contig_71_60.9586,Purple
Contig_72_85.3821,Purple
Contig_73_64.7564,Purple
Contig_74_74.0859,Purple
Contig_75_74.4261,Purple
Contig_76_72.3293,Purple
Contig_77_136.111,Purple
Contig_78_82.5483,Purple
Contig_79_47.3874,Purple
Contig_7_70.2311,Purple
Contig_80_63.609,Purple
Contig_81_247.581,Purple
Contig_82_261.667,Purple
Contig_83_121.861,Purple
Contig_84_79.6287,Purple
Contig_85_53.2282,Purple
Contig_86_560.713,Purple
Contig_87_157.201,Purple
Contig_88_87.2604,Purple
Contig_89_130.15,Purple
Contig_8_209.047,Purple
Contig_90_65.2187,Purple
Contig_91_182.523,Purple
Contig_92_68.8256,Purple
Contig_93_139.521,Purple
Contig_94_72.1085,Purple
Contig_95_289.42,Purple
Contig_96_63.0968,Purple
Contig_97_58.3228,Purple
Contig_98_77.0227,Purple
Contig_99_65.6804,Purple
Contig_9_59.8026,Purple
Contig_100_84.9567:3p:1:4,Lime Green
Contig_100_84.9567:3p:1:6,Lime Green
Contig_100_84.9567:3p:1:7,Lime Green
Contig_100_84.9567:3p:1:8,Lime Green
Contig_100_84.9567:3p:1:9,Lime Green
Contig_100_84.9567:3p:1:10,Lime Green
Contig_100_84.9567:3p:1:16,Lime Green
Contig_100_84.9567:3p:1:18,Lime Green
Contig_100_84.9567:3p:1:20,Lime Green
Contig_100_84.9567:3p:1:21,Lime Green
Contig_100_84.9567:3p:1:22,Lime Green
Contig_100_84.9567:3p:1:25,Lime Green
Contig_101_79.4292:5p:1:2,Lime Green
Contig_101_79.4292:5p:1:3,Lime Green
Contig_101_79.4292:5p:1:5,Lime Green
Contig_101_79.4292:5p:1:6,Lime Green
Contig_101_79.4292:5p:1:7,Lime Green
Contig_101_79.4292:5p:1:8,Lime Green
Contig_101_79.4292:5p:1:11,Lime Green
Contig_101_79.4292:5p:1:12,Lime Green
Contig_101_79.4292:5p:1:13,Lime Green
Contig_101_79.4292:5p:1:15,Lime Green
Contig_101_79.4292:5p:1:16,Lime Green
Contig_101_79.4292:5p:1:17,Lime Green
Contig_101_79.4292:5p:1:18,Lime Green
Contig_101_79.4292:5p:1:19,Lime Green
Contig_103_176.27:3p:1:4,Lime Green
Contig_103_176.27:5p:1:4,Lime Green
Contig_104_83.4028:3p:1:3,Lime Green
Contig_104_83.4028:3p:1:5,Lime Green
Contig_104_83.4028:3p:1:6,Lime Green
Contig_104_83.4028:3p:1:11,Lime Green
Contig_104_83.4028:3p:1:13,Lime Green
Contig_104_83.4028:3p:1:14,Lime Green
Contig_118_82.5031:3p:1:4,Lime Green
Contig_118_82.5031:3p:1:7,Lime Green
Contig_118_82.5031:3p:1:8,Lime Green
Contig_118_82.5031:3p:1:9,Lime Green
Contig_118_82.5031:3p:1:10,Lime Green
Contig_120_95.6288:3p:1:3,Lime Green
Contig_120_95.6288:3p:1:4,Lime Green
Contig_120_95.6288:3p:1:5,Lime Green
Contig_120_95.6288:3p:1:8,Lime Green
Contig_120_95.6288:3p:1:11,Lime Green
Contig_120_95.6288:3p:1:12,Lime Green
Contig_124_941.423:3p:1:6,Lime Green
Contig_124_941.423:3p:1:9,Lime Green
Contig_124_941.423:3p:1:10,Lime Green
Contig_124_941.423:3p:1:12,Lime Green
Contig_124_941.423:3p:1:14,Lime Green
Contig_124_941.423:3p:1:16,Lime Green
Contig_125_260.684:5p:1:5,Lime Green
Contig_129_371.301:3p:1:3,Lime Green
Contig_129_371.301:3p:1:4,Lime Green
Contig_129_371.301:3p:1:8,Lime Green
Contig_129_371.301:3p:1:9,Lime Green
Contig_129_371.301:3p:1:11,Lime Green
Contig_132_132.861:3p:1:3,Lime Green
Contig_132_132.861:3p:1:4,Lime Green
Contig_132_132.861:3p:1:6,Lime Green
Contig_133_103.009:3p:1:2,Lime Green
Contig_133_103.009:3p:1:4,Lime Green
Contig_133_103.009:3p:1:5,Lime Green
Contig_133_103.009:3p:1:8,Lime Green
Contig_133_103.009:3p:1:10,Lime Green
Contig_133_103.009:3p:1:11,Lime Green
Contig_136_74.9509:5p:1:3,Lime Green
Contig_136_74.9509:5p:1:4,Lime Green
Contig_136_74.9509:5p:1:6,Lime Green
Contig_136_74.9509:5p:1:7,Lime Green
Contig_136_74.9509:5p:1:11,Lime Green
Contig_136_74.9509:5p:1:12,Lime Green
Contig_136_74.9509:5p:1:15,Lime Green
Contig_136_74.9509:5p:1:16,Lime Green
Contig_136_74.9509:5p:1:17,Lime Green
Contig_136_74.9509:5p:1:18,Lime Green
Contig_136_74.9509:5p:1:20,Lime Green
Contig_136_74.9509:5p:1:21,Lime Green
Contig_136_74.9509:5p:1:22,Lime Green
Contig_143_108.571:5p:1:4,Lime Green
Contig_143_108.571:5p:1:5,Lime Green
Contig_143_108.571:5p:1:7,Lime Green
Contig_143_108.571:5p:1:8,Lime Green
Contig_143_108.571:5p:1:11,Lime Green
Contig_143_108.571:5p:1:13,Lime Green
Contig_143_108.571:5p:1:14,Lime Green
Contig_143_108.571:5p:1:15,Lime Green
Contig_143_108.571:5p:1:16,Lime Green
Contig_145_71.2839:5p:1:2,Lime Green
Contig_145_71.2839:5p:1:11,Lime Green
Contig_145_71.2839:5p:1:13,Lime Green
Contig_145_71.2839:5p:1:15,Lime Green
Contig_145_71.2839:5p:1:19,Lime Green
Contig_145_71.2839:5p:1:20,Lime Green
Contig_145_71.2839:5p:1:21,Lime Green
Contig_145_71.2839:5p:1:22,Lime Green
Contig_145_71.2839:5p:1:28,Lime Green
Contig_145_71.2839:5p:1:33,Lime Green
Contig_145_71.2839:5p:1:36,Lime Green
Contig_145_71.2839:5p:1:37,Lime Green
Contig_145_71.2839:5p:1:42,Lime Green
Contig_145_71.2839:5p:1:43,Lime Green
Contig_145_71.2839:5p:1:44,Lime Green
Contig_145_71.2839:5p:1:46,Lime Green
Contig_145_71.2839:5p:1:47,Lime Green
Contig_145_71.2839:5p:1:48,Lime Green
Contig_145_71.2839:5p:1:49,Lime Green
Contig_145_71.2839:5p:1:52,Lime Green
